id_fatura,filial,cidade,tipo_cliente,genero,linha_produto,preco_unitario,quantidade,imposto_5pct,total,data,hora,minuto,forma_pagamento,custo_produtos,margem_bruta_pct,lucro_bruto,avaliacao,ano,mes,dia,trimestre,semana_ano,mes_nome,dia_semana,periodo_dia,dia_util,quinzena,eh_fim_semana,data_visual,ticket_medio_por_item,valor_sem_imposto,lucro_por_item,percentual_imposto_real,eficiencia_venda,margem_liquida_pct,intensidade_compra,densidade_valor,indice_satisfacao_ajustado,avaliacao_ponderada,score_valor_cliente,faixa_avaliacao,categoria_horario_pico,categoria_ticket,perfil_compra
750-67-8428,A,Yangon,Membro,Feminino,Saúde e Beleza,74.69,7,26.1415,548.9715,2019-01-05,13,8,Carteira Digital,522.83,4.761904762,26.1415,9.1,2019,1,5,1,1,Janeiro,Sábado,Tarde,Não,Primeira Quinzena,1,05/01/2019,78.4245,522.83,3.7345,4.761904761904763,5.0,4.761904761904763,522.8299999999999,78.4245,4.791292044310171,63.699999999999996,69.36062437059417,Muito Satisfeito,Horário de Pico,VIP,Comprador Premium
226-31-3081,C,Naypyitaw,Normal,Feminino,Acessórios Eletrônicos,15.28,5,3.82,80.22,2019-03-08,10,29,Dinheiro,76.4,4.761904762,3.82,9.6,2019,3,8,1,10,Março,Sexta-feira,Manhã,Sim,Primeira Quinzena,0,08/03/2019,16.044,76.4,0.764,4.761904761904762,5.0,4.761904761904762,76.39999999999999,16.044,0.7386102719033232,48.0,46.87754279959718,Muito Satisfeito,Horário de Pico,Econômico,Comprador Econômico
631-41-3108,A,Yangon,Normal,Masculino,Casa e Estilo de Vida,46.33,7,16.2155,340.5255,2019-03-03,13,23,Cartão de Crédito,324.31,4.761904762,16.2155,7.4,2019,3,3,1,9,Março,Domingo,Tarde,Não,Primeira Quinzena,1,03/03/2019,48.6465,324.31,2.3165,4.761904761904761,5.0,4.761904761904761,324.31,48.6465,2.416811681772407,51.800000000000004,56.2638469284995,Satisfeito,Horário de Pico,Premium,Comprador Padrão
123-19-1176,A,Yangon,Membro,Masculino,Saúde e Beleza,58.22,8,23.288,489.048,2019-01-27,20,33,Carteira Digital,465.76,4.761904762,23.288,8.4,2019,1,27,1,4,Janeiro,Domingo,Noite,Não,Segunda Quinzena,1,27/01/2019,61.131,465.76,2.911,4.761904761904762,5.0,4.761904761904762,465.76,61.131,3.939963746223565,67.2,67.96173212487412,Satisfeito,Horário de Pico,VIP,Comprador Premium
373-73-7910,A,Yangon,Normal,Masculino,Esportes e Viagem,86.31,7,30.2085,634.3785,2019-02-08,10,37,Carteira Digital,604.17,4.761904762,30.2085,5.3,2019,2,8,1,6,Fevereiro,Sexta-feira,Manhã,Sim,Primeira Quinzena,0,08/02/2019,90.6255,604.1700000000001,4.3155,4.761904761904762,5.0,4.761904761904762,604.1700000000001,90.6255,3.2246737160120844,37.1,61.23716012084592,Neutro,Horário de Pico,VIP,Comprador Premium
699-14-3026,C,Naypyitaw,Normal,Masculino,Acessórios Eletrônicos,85.39,7,29.8865,627.6165,2019-03-25,18,30,Carteira Digital,597.73,4.761904762,29.8865,4.1,2019,3,25,1,13,Março,Segunda-feira,Noite,Sim,Segunda Quinzena,0,25/03/2019,89.6595,597.73,4.2695,4.761904761904763,5.0,4.761904761904763,597.73,89.6595,2.467968781470291,28.699999999999996,57.37774420946625,Insatisfeito,Horário de Pico,VIP,Comprador Premium
355-53-5943,A,Yangon,Membro,Feminino,Acessórios Eletrônicos,68.84,6,20.652,433.692,2019-02-25,14,36,Carteira Digital,413.04,4.761904762,20.652,5.8,2019,2,25,1,9,Fevereiro,Segunda-feira,Tarde,Sim,Segunda Quinzena,0,25/02/2019,72.282,413.04,3.442,4.761904761904763,5.0,4.761904761904763,413.04,72.282,2.412519637462235,34.8,52.03806646525679,Neutro,Horário de Pico,Premium,Comprador Padrão
315-22-5665,C,Naypyitaw,Normal,Feminino,Casa e Estilo de Vida,73.56,10,36.78,772.38,2019-02-24,11,38,Carteira Digital,735.6,4.761904762,36.78,8.0,2019,2,24,1,8,Fevereiro,Domingo,Manhã,Não,Segunda Quinzena,1,24/02/2019,77.238,735.6,3.678,4.761904761904763,5.0,4.761904761904763,735.6,77.238,5.926283987915407,80.0,83.63141993957703,Satisfeito,Horário de Pico,VIP,Comprador Premium
665-32-9167,A,Yangon,Membro,Feminino,Saúde e Beleza,36.26,2,3.626,76.146,2019-01-10,17,15,Cartão de Crédito,72.52,4.761904762,3.626,7.2,2019,1,10,1,2,Janeiro,Quinta-feira,Tarde,Sim,Primeira Quinzena,0,10/01/2019,38.073,72.52,1.813,4.761904761904762,5.0,4.761904761904762,72.52,38.073,0.5258247734138973,14.4,30.521248741188316,Satisfeito,Horário Normal,Econômico,Comprador Econômico
692-92-5582,B,Mandalay,Membro,Feminino,Alimentos e Bebidas,54.84,3,8.226,172.746,2019-02-20,13,27,Cartão de Crédito,164.52,4.761904762,8.226,5.9,2019,2,20,1,8,Fevereiro,Quarta-feira,Tarde,Sim,Segunda Quinzena,0,20/02/2019,57.582,164.52,2.7420000000000004,4.761904761904763,5.0,4.761904761904763,164.52,57.582,0.9775105740181269,17.700000000000003,33.32719033232628,Neutro,Horário de Pico,Padrão,Comprador Econômico
